kelime,sesli,anlam,hece
fizik tedavi uygulayıcısı,iieaiuuaııı,Uzman hekimin koyduğu tanıya göre hastalar için uygun fizyoterapi ve rehabilitasyon tedavi programlarını uygulayan kimse; fizyoterapist,11
fizik tedavisi,iieaii,343 fizik tedavi,6
fizik yapısı,iiaıı,Bir insanın vücut görünüşü,5
fizik,ii,"Maddenin kimyasal yapısındaki değişiklikler dışında genel veya geçici yasalara bağlı, deneysel olarak araştırılabilen, ölçülebilen, matematiksel olarak tanımlanabilen madde ve enerji olgularıyla uğraşan bilim dalı",2
fizikçe,iie,Fizik bakımından,3
fizikçi,iii,Fizik bilgini veya fizikle uğraşan kimse,3
fiziki,iii,fiziksel,3
fiziki coğrafya,iiioaa,"Yeryüzündeki doğal olayların sebeplerini, dağılımını ve sonuçlarını inceleyen coğrafya dalı; doğal coğrafya",6
fiziki harita,iiiaia,"Yeryüzü şekillerini kabartma, renklendirme gibi yöntemlerle gösteren harita",6
fizikokimya,iioia,"Kimyasal olayları fiziksel yöntemlerle çözümleyen, fizik ve kimya konularını kapsayan bilim",5
fiziksel,iie,Fizikle ilgili olan,3
fizyokrat,ioa,"XVIII. yüzyılda ortaya çıkan, tarım emeğinin üretici emek olduğunu ve yalnızca bu emeğin değeri yarattığını ileri süren ekonomi görüşünü savunan",3
fizyokratlık,ioaı,Fizyokrat olma durumu,4
fizyolog,ioo,fizyolojist,3
fizyoloji,iooi,"Canlıların hücre, doku ve organlarının görevlerini ve bu görevlerin nasıl yerine geldiklerini inceleyen bilim dalı",4
fizyolojik,iooi,"Fizyoloji ile ilgili, vücutla ilgili",4
fizyolojist,iooi,Fizyoloji bilgini; fizyolog,4
fizyonomi,iooi,Yüz çizgilerinin genel durumundan çıkan anlam,4
fizyoterapi,ioeai,fizik tedavi,5
fizyoterapist,ioeai,fizik tedavi uygulayıcısı,5
flama,aa,İşaret olarak veya çeşitli amaçlarla kullanılan küçük bayrak,2
flamacı,aaı,Flama kullanarak anlaşmayı sağlayan kimse,3
Flaman,aa,"Hollanda, Fransa ve Belçika’nın bazı bölümlerinde yaşayan bir halk veya bu halkın soyundan olan kimse",2
Flaman atı,aaaı,"Belçika kökenli, iri yapılı koşum atı",4
Flaman kuşu,aauu,flamingo,4
Flamanca,aaa,Flamanların kullandığı dil,3
flamangiller,aaie,Kuşlar sınıfının leyleksiler takımına bağlı flamanlar alt takımının bir familyası,4
flamanlar,aaa,"Kuşlar sınıfının, leyleksiler takımının bir alt takımı",3
flambe,ae,Aleve tutarak pişirme yöntemi,2
Flamenko,aeo,Endülüs halk müziği,3
flamingo,aio,"Leyleksilerden, tüyleri beyaz, pembe, kanatlarının ucu kara, bir kuş türü; Flaman kuşu (Phoenicopterus ruber)",3
flandra,aa,"Genellikle ince bezden yapılmış, uçkurluk bölümü dar, kurdele biçiminde bayrak",2
flandra balığı,aaaıı,kurdele balığı,5
flanel,ae,Keten ve yünden dokunan kumaş,2
flaş,a,Fotoğraf çekiminde ışık yeterli olmadığında bir görüntüyü net almak için kullanılan çok kısa süreli ve güçlü parıltı,1
flaş conta,aoa,Su motorlarında motor ile su borusu arasına geçirmezliği sağlamak için yerleştirilen yuvarlak lastik veya kauçuk madde,3
flaşör,aö,dörtlü,2
flavta,aa,flüt,2
flebit,ei,Toplardamarlarda iç zar yangısı,2
flegmon,eo,Deri altındaki veya organlar arasındaki katılgan dokunun iltihaplanması,2
fleol,eo,çayır otu,2
flit,i,"Sinek, sivrisinek vb. böcekleri öldürmek için püskürtülen ilaç",1
flitleme,iee,Flitlemek işi,3
flitlemek,iee,Flit vb. kullanarak bir yere ilaç püskürtmek,3
flok,o,Geminin cıvadrasına çekilen üçgen yelken,1
flor,o,"Atom numarası 9, atom ağırlığı 19, yoğunluğu 1,265 olan, kokusu ozonu andıran, yeşilimtırak sarı renkte, halojenler grubunun ilk elementi olan basit element (simgesi F)",1
flora,oa,"Bir ülke, bir bölge veya belirli bir yöredeki bitki türlerinin tümü; bitey",2
floresan,oea,florışıl,3
floresan lamba,oeaaa,"Yüzeyi parlak maddelerle kaplı, içi cıva buharı ile dolu cam tüpten oluşan lamba",5
floresans,oea,florışı,3
florışı,oıı,"Bazı cisimlerin aldıkları ışığı, boyu daha uzun ışık ışınımlarına dönüştürmesi özelliği; floresans",3
florışıl,oıı,Florışı özelliği gösteren; floresan,3
flori,oi,Altın para,2
florin,oi,Hollanda'nın para birimi; gulden,2
florit,oi,"Çeşitli renkleri olan, kalsiyum florür birleşiminde bir mineral",2
florür,oü,Florun başka bir elementle verdiği ikili birleşik,2
floş,o,"Selülozdan yapılan, parlak, bükümsüz iplik",1
flöre,öe,dürtücü kılıç,2
flört,ö,Kadınla erkek arasındaki duygusal ilişki,1
flu,u,Tam olarak belli olmayan,1
flurcun,uu,kocabaş,2
flüt,ü,"Yan tutularak çalınan, orkestrada yer alan bir üflemeli çalgı; flavta",1
flütçü,üü,Flüt çalan kimse,2
fobi,oi,Belirli nesneler veya durumlar karşısında duyulan olağan dışı güçlü korku; yılgı,2
Foça,oa,İzmir iline bağlı ilçelerden biri,2
fodla,oa,Çoğunlukla imaretlerde yoksullara verilen kepekli undan yapılmış pideye benzer bir ekmek türü,2
fodlacı,oaı,Evlere fodla dağıtan kimse,3
fodlacılık,oaıı,Fodlacının yaptığı iş,4
fodra,oa,Düz ve dik durması için elbisenin bazı yerlerine kumaşla astar arasına konulan sert ve kolalı bez,2
fodul,ou,"Üstünlük taslayan, kibirlenen",2
fodulca,oua,Fodul gibi,3
fodulluk,ouu,"Üstünlük taslama durumu, fodulca davranış",3
fok,o,"Etçiller takımının fokgiller familyasından, 1-2 metre boyunda, postu değerli, memeli deniz hayvanı; ayı balığı (Phoca)",1
fokgiller,oie,"Soğuk denizlerin kıyılarında yaşayan, etçiller takımının yüzgeç ayaklılar alt takımından bir familya",3
fokstrot,oo,Dört tempolu bir dans,2
fokur fokur,ouou,Fokurdayarak,4
fokurdak,oua,Fokurdama özelliği olan,3
fokurdama,ouaa,Fokurdamak işi,4
fokurdamak,ouaa,Fokur fokur ses çıkararak kaynamak,4
fokurdatma,ouaa,Fokurdatmak işi,4
fokurdatmak,ouaa,Fokurdamasını sağlamak,4
fokurtu,ouu,Sıvıların fokurdama sırasında çıkardığı sesin adı,3
fokus,ou,odak,2
fol,o,Tavuğun istenilen yere yumurtlaması için o yere konulan yumurta veya yumurtaya benzeyen şey,1
folk,o,halk (I),1
folk müziği,oüii,halk müziği,4
folk sanatçısı,oaaıı,Halk müziği ile uğraşan veya söyleyen sanatçı,5
folklor,oo,halk bilimi,2
folklorcu,oou,halk bilimci,3
folklorculuk,oouu,Folklorcunun işi veya mesleği,4
folklorik,ooi,halk bilimsel,3
folklorist,ooi,halk bilimci,3
folluk,ou,Tavukların yumurtlaması için hazırlanmış özel yer,2
folyo,oo,folyo kâğıdı,2
folyo kâğıdı,ooıı,"Yiyecekleri korumak ve saklamak için kullanılan, ince, şeffaf kâğıt; folyo",4
fon,o,"Belirli bir iş için gerektikçe harcanmak üzere ayrılıp işletilen para, kaynak",1
fon müziği,oüii,Bir sahne eseri oynanırken çalınan müzik,4
fonda,oa,Geminin demir attığı yer,2
fondan,oa,"İçinde likör, tatlı veya hoş kokulu maddeler bulunan, ağızda kolayca eriyen bir şekerleme türü",2
fondip,oi,"Sonuna kadar, bir solukta, bir dikişte",2
fondöten,oöe,"Pürüzsüz göstermek veya renk vermek için cilde sürülen, yarı sıvı veya boyalı krem; düzgün",3
fonem,oe,ses birimi,2
fonetik,oei,ses bilgisi,3
fonetikçi,oeii,"Ses bilgisi ile uğraşan, ses bilgisi uzmanı",4
fonksiyon,oio,işlev,3
fonksiyonalizm,oioai,işlevcilik,5
fonksiyonel,oioe,işlevsel,4
fonograf,ooa,gramofon,3
fonografi,ooai,"Seslerin gerektikçe tekrarlanmasını sağlamak için bunların titreşimlerini, madde üzerine iz olarak geçirme yöntemi",4
fonojenik,ooei,Sesi radyoya veya fonografa uygun olan (kimse),4
fonolit,ooi,sesli taş,3
fonolog,ooo,ses bilimci,3
fonoloji,oooi,ses bilimi,4
fonolojik,oooi,ses bilimsel,4
fonotelgraf,ooea,Telefonla iletilen telgraf,4
font,o,dökme demir,1
fora,oa,"Yelken açtırma, mayna karşıtı",2
forint,oi,Macaristan'ın para birimi,2
form,o,biçim (II),1
forma,oa,biçim (II),2
forma başlık,oaaı,Dalgıçların kullandığı yuvarlak metal başlık,4
formaldehit,oaei,"Doymuş aldehitlerin ilk üyesi olan, renksiz, keskin ve yakıcı kokulu, mukozaları aşırı tahriş eden, kolayca alevlenen bir gaz",4
formalık,oaı,"Forma yapmak için ayrılmış, forma yapmaya uygun",3
formalist,oai,biçimci,3
formalite,oaie,Yerine getirilmesi kanunca zorunlu kılınan işlem,4
formaliteci,oaiei,"Özellikle resmî işlerde yöntemlere, tüzüklere sıkı sıkıya bağlanıp işlerin yürümesini güçleştiren kimse",5
formaliteli,oaiei,Formalitesi olan,5
formalitesiz,oaiei,Formalitesi olmayan,5
formalizm,oai,biçimcilik,3
formasyon,oao,biçimlenme,3
format,oa,biçim (II),2
formatlama,oaaa,biçimlendirme,4
formatlamak,oaaa,biçimlendirmek,4
formatlı,oaı,Bilgisayarda kullanılabilir duruma getirilmiş,3
formatsız,oaı,Bilgisayarda kullanılabilir duruma getirilmemiş,3
formel,oe,biçimsel,2
formen,oe,ustabaşı,2
formik asit,oiai,Karıncalarda ve bazı bitkilerde bulunan asit; karınca asidi,4
formika,oia,Fenol formol reçinesine batırılmış ve yüzeyi yapay reçine ile kaplanmış birkaç kat kâğıttan oluşan ve çoğu marangozlukta kullanılan bir tür madde,3
formol,oo,Formaldehitin %40'lık sulu çözeltisi,2
formül,oü,"Genel bir olguyu, bir kuralı veya ilkeyi açıklayan simgeler takımı",2
formüle,oüe,"""Bir düşünceye bir anlatım biçimi vermek"" anlamında kullanılan formüle etmek birleşik fiilinde geçen bir söz",3
formüler,oüe,Formüllerin bir araya toplandığı kitap veya dergi,3
formülleşme,oüee,Formülleşmek işi,4
formülleşmek,oüee,Formül durumuna gelmek,4
formülleştirme,oüeie,Formülleştirmek işi,5
formülleştirmek,oüeie,Formül durumuna getirmek,5
formüllü,oüü,Formülü olan,3
formülsüz,oüü,Formülü olmayan,3
foroz,oo,Bir ağ atılışında çıkarılan balık miktarı,2
foroz kayığı,ooaıı,Dalyandan balık çıkarmak için kullanılan kayık,5
fors,o,"Devlet başkanının bulunduğu yerlere, amirallerin çalıştıkları kuruluşlara veya gemilere, generallerin garnizonlarına ve bu düzeydeki görevlilerin arabalarına çekilen üç veya dört köşeli bayrak",1
forsa,oa,Gemilerde kürek çeken tutsak veya hükümlü kimse,2
forseps,oe,tutçek,2
forslu,ou,"Üzerine fors çekilmiş (gemi, otomobil)",2
forsmajör,oaö,Zorlayıcı sebep,3
fort pense,oee,Küçük başlı vidaları sıkmakta kullanılan özel bir alet,3
fortçu,ou,"Taşıtlarda kalabalıktan yararlanarak başkalarına sürtünen, sarkıntılık eden kimse",2
fortçuluk,ouu,Fortçu olma durumu,3
forte,oe,Güçlü bir biçimde (çalınmak),2
fortepiano,oeiao,Önce güçlü daha sonra hafif bir biçimde (çalınmak),5
fortissimo,oiio,Bazı bölümler çok güçlü bir biçimde (çalınmak),4
forum,ou,"Eski Romalılar zamanında, Roma'da ve diğer şehirlerde kamu işlerini konuşmak için halkın toplandığı alan",2
forvet,oe,ileri uç oyuncusu,2
fos,o,"Sonu boş olan (iş, olay)",1
foseptik,oei,lağım çukuru,3
fosfat,oa,Yapay gübre ve bazı ilaçların yapımında kullanılan fosforik asidin tuzu veya esteri,2
fosfatlama,oaaa,Fosfatlamak işi,4
fosfatlamak,oaaa,Ekilen topraklara fosfatlı gübre vermek,4
fosfatlatma,oaaa,Fosfatlatmak işi,4
fosfatlatmak,oaaa,Fosfatlama işini yaptırmak,4
fosfatlı,oaı,İçinde fosfat olan,3
fosfatsız,oaı,İçinde fosfat olmayan,3
fosfor,oo,"Atom numarası 15, atom ağırlığı 30,97, yoğunluğu 1,83 olan, yarı saydam, bal mumu kıvamında, karanlıkta ışıldayan, sarımsak kokulu, zehirli bir element (simgesi P)",2
fosforışı,ooıı,Bazı cisimlerin veya canlı varlıkların normal sıcaklığında hissedilir bir artış olmadan karanlıkta ışık verme özelliği,4
fosforışıl,ooıı,Fosforışı özelliği olan,4
fosforik asit,ooiai,"Fosfor, hidrojen ve oksijenden oluşan, suda kolay çözünen, 42 °C'de eriyen, gübre, sabun, deterjan yapımında ve eczacılıkta kullanılan, kristal yapılı, sıvı durumda, renksiz bir asit (H3PO4)",5
fosforlu,oou,Bileşiminde fosfor olan,3
fosforsuz,oou,Fosfor içermeyen,3
fosgen,oe,Karbonmonoksit ile klordan meydana gelen boğucu bir gaz,2
fosil,oi,"Geçmiş yer bilimi zamanlarına ilişkin hayvanların ve bitkilerin, yer kabuğu kayaçları içindeki kalıntıları veya izleri; müstehase, taşıl",2
fosilleşme,oiee,Fosilleşmek durumu; taşıllaşma,4
fosilleşmek,oiee,Fosil durumuna gelmek; taşıllaşmak,4
fosilli,oii,İçinde fosil bulunan; taşıllı,3
foslama,oaa,Foslamak işi,3
foslamak,oaa,Fos çıkmak,3
foslatma,oaa,Foslatmak işi,3
foslatmak,oaa,"Yanlışını veya hilesini ortaya çıkararak birini bozmak, utandırmak",3
fosur fosur,ouou,Dumanını savurarak (sigara vb. içmek),4
fosurdama,ouaa,Fosurdamak işi,4
fosurdamak,ouaa,Solurken ağızdan ses çıkarmak,4
fosurdatma,ouaa,Fosurdatmak işi,4
fosurdatmak,ouaa,"Tütün, sigara vb.ni duman çıkararak içmek",4
fosurtu,ouu,Sigara fosur fosur içilirken çıkarılan ses,3
foş,o,Suyun ani ve fazla miktarda dökülmesi sırasında çıkan ses,1
foşa,oa,Tombul fındık grubunda standart bir tür fındık,2
foşurdama,ouaa,Foşurdamak işi,4
foşurdamak,ouaa,Foşur foşur ses çıkarmak,4
foşurdatma,ouaa,Foşurdatmak işi,4
foşurdatmak,ouaa,Suyun foşurdamasına yol açmak,4
fota,oa,İçinde şarap yapılan bir tür fıçı,2
foto,oo,fotoğraf,2
fotoakım,ooaı,Fotoelektrik olayından elde edilen akım,4
fotoelektrik,ooeei,Işığın etkisiyle elektrik üretme,5
fotofiniş,ooii,"Bir yarışta, yarışanların varış anını belirleyen aygıt",4
fotoğraf,ooa,Çeşitli araç ve malzeme kullanarak görüntüyü özel bir yüzey üzerinde sabitleme,3
fotoğraf makinesi,ooaaiei,Fotoğraf çekerken görüntüyü duyarlıklı yüzey üzerinde tespit etmeye yarayan cihaz,7
fotoğrafçı,ooaı,Fotoğraf çeken veya basan kimse,4
fotoğrafçılık,ooaıı,Fotoğrafçının yaptığı iş,5
fotoğrafhane,ooaae,"Fotoğrafçının çalıştığı, fotoğraf çekilen veya fotoğraf makinesi satılan yer; fotoğrafçı",5
fotoğraflama,ooaaa,Fotoğraflamak işi,5
fotoğraflamak,ooaaa,"Fotoğrafla tespit etmek, fotoğrafını çekmek, görüntülemek",5
fotojen,ooe,"Işık yaratan, doğuran",3
fotojenik,ooei,Işığın bazı cisimler üzerine yaptığı kimyasal etki ile ilgili veya bu etkileri yaratma özelliği taşıyan,4
fotokimya,ooia,Işık etkisiyle oluşan kimyasal tepkimeleri inceleyen bilim; fotoşimi,4
fotokinezi,ooiei,"Bazı hayvanları karanlıkta ışık, çok aydınlıkta ise karanlık aramaya iteleyen dürtü",5
fotokopi,oooi,"Bir yazı, kitap veya biçimin fotoğraf yoluyla kopyasını çıkarma yöntemi; tıpkıçekim",4
fotokopici,oooii,"Fotokopi işlerini yapan, fotokopi çeken kimse",5
fotokopicilik,oooiii,Fotokopicinin yaptığı iş,6
fotolitografi,ooioai,"Taş, maden üzerindeki örneklerin, ışığa duyarlı tabakalar üzerinde fotoğraf veya kopya yoluyla çıkarılmasında kullanılan baskı tekniği",6
fotomekanik,ooeai,Fotoğraftan baskı klişesi elde etmek için uygulanan her türlü yöntem,5
fotometre,ooee,ışıkölçer,4
fotometri,ooei,ışık ölçümü,4
fotomodel,oooe,Fotoğraf veya reklam fotoğrafları için modellik eden kimse,4
fotomontaj,oooa,Bir konu üzerindeki eksik bölümleri tamamlamak veya daha çok konuyu bir araya toplamak için birkaç fotoğrafın birleştirilmesi,4
fotomorfoz,oooo,Canlı varlıkların birey oluş sırasındaki gelişimi üzerinde ışığın yaptığı etki,4
fotoroman,oooa,Bir metinle bir dizi fotoğraftan oluşan hikâye veya roman,4
fotosentez,ooee,Yeşil bitkilerin ışıkta basit birleşiklerinden karmaşık yapılı organik moleküller üretmesi,4
fotosfer,ooe,ışık yuvarı,3
fotoskop,ooo,"Merceklerin uyumundaki değişiklikleri, onların yüzeylerindeki yansımalarla gözlemeye yarayan alet",3
fotoşimi,ooii,fotokimya,4
fototaksi,ooai,ışığa göçüm,4
fototaktizm,ooai,ışığa göçüm,4
fototek,ooe,Fotoğraf belgeliği,3
fototerapi,ooeai,Işık kullanılarak yapılan tedavi,5
fototropizm,oooi,ışığa doğrulum,4
foya,oa,Parıltısını artırmak için elmas taşlarının altlarına konan ince metal yaprak,2
fön,ö,Sıcak veya soğuk hava üfleyen bir aletle saçı kurutup biçim vererek tarama,1
fötr,ö,"Şapka, çanta, çiçek ve başka süs eşyası yapmak için kullanılan ince ve yumuşak keçe",1
fragman,aa,tanıtma filmi,2
frak,a,"Resmî törenlerde giyilen uzun etekli, eteğinin arkası beline kadar yırtmaçlı, siyah erkek ceketi veya takımı",1
fraklı,aı,Frak giymiş olan,2
fraksiyon,aio,"Bir siyasi partinin politikasını parlamentoda, yerel yönetimlerde, çeşitli kuruluşlarda yürütmek için teşkilatlanmış grup",3
francala,aaa,İyi nitelikli undan yapılan ince uzun ekmek,3
francalacı,aaaı,Francala yapan veya satan kimse,4
francalacılık,aaaıı,Francalacının yaptığı iş,5
francalalık,aaaı,Francala yapmaya uygun olan (un),4
frank,a,"Fransa, İsviçre, Belçika vb. ülkelerin para birimi",1
franklık,aı,Frank değerinde olan,2
Fransız,aı,Fransa'da yaşayan halk ve bu halkın soyundan olan kimse; Fransalı,2
Fransızca,aıa,Fransa ve Fransız uygarlığını benimsemiş ülkelerdeki halkın kullandığı dil; Frenkçe,3
Fransızlaşma,aıaa,Fransızlaşmak durumu,4
Fransızlaşmak,aıaa,Fransızlara özgü yaşayış tarzını benimsemek,4
Fransızlaştırma,aıaıa,Fransızlaştırmak durumu,5
Fransızlaştırmak,aıaıa,Fransızlara özgü yaşayış tarzını benimsetmek,5
Fransızlık,aıı,Fransız olma durumu,3
fransiyum,aiu,"Atom numarası 87, atom ağırlığı 223 olan, aktinyumdan elde edilen radyoaktif element (simgesi Fr)",3
frapan,aa,"Göz alıcı, göze çarpıcı, alımlı olan",2
frape,ae,"Buzlu veya dondurulmuş olarak sunulan içki, meşrubat",2
frekans,ea,sıklık,2
fren,e,"Bir makinenin, herhangi bir taşıtın hızını kesmeye veya onu durdurmaya yarayan mekanizma",1
fren mesafesi,eeaei,Hareket durumundaki aracın frene basıldığında durana kadar aldığı yol uzunluğu,5
frenci,ei,Tren yolu dönemecinde yol boyundaki frenlere kumanda eden görevli,2
frengi,ei,"Genellikle cinsel birleşmelerle bulaşan, tedavi edilmediğinde inme, körlük, delilik vb. sonuçlara kadar varan, döle de geçerek vücutça ve akılca sakat bir soyun yetişmesine yol açan bir hastalık; yenirce, sifilis",2
Frenk gömleği,eöei,"Yakası kravat takmaya uygun, çoğu uzun kollu, ceket veya yelek altına giyilen erkek gömleği",4
Frenk inciri,eiii,"Kaktüsgillerden, yaprakları etli ve yayvan dikenli bir bitki; firavun inciri, Hint inciri (Opuntia ficus-indica)",4
Frenk lahanası,eaaaı,Ceviz büyüklüğünde bir tür lahana; Brüksel lahanası (Brassica oleracea gemmifera),5
Frenk maydanozu,eaaou,"Maydanozgillerden, salata ve salçalarda kullanılan bodur ve güzel kokulu bir bitki",5
Frenk menekşesi,eeeei,"Turpgillerden, çiçekleri güzel kokulu bir tür süs bitkisi (Hesperis)",5
Frenk üzümü,eüüü,Taşkırangillerden bir çalı (Fibes nigrum),4
Frenkleşme,eee,Frenkleşmek işi,3
Frenkleşmek,eee,"Frenge benzemek, Frenk gibi davranışlarda bulunmak",3
Frenkleştirme,eeie,Frenkleştirmek işi,4
Frenkleştirmek,eeie,Frenklere özgü yaşayış tarzı kazandırmak,4
Frenklik,ei,Frenk gibi davranma,2
frenleme,eee,Frenlemek işi,3
frenlemek,eee,"Bir taşıtın, mekanizmanın hareketini fren yardımıyla yavaşlatmak veya durdurmak",3
frenlenme,eee,Frenlenmek işi,3
frenlenmek,eee,Frenleme işi yapılmak,3
frenleyici,eeii,Bazı organların çalışmasını engelleyen,4
frenoloji,eooi,Kafatasının biçimine bakarak insanın karakterini ve zihinsel yeteneğini inceleme,4
frenolojik,eooi,Frenoloji ile ilgili,4
frer,e,Yabancılara ait okullarda görevli papaz,1
fresk,e,Yaş duvar sıvası üzerine kireç suyunda eritilmiş madenî boyalarla resim yapma yöntemi,1
freze,ee,"Tornacılıkta, bir deliğin ağzını genişletmeye yarayan çelik alet",2
frezeci,eei,Teknik resme veya modele uygun her çeşit parçayı freze tezgâhında yapabilen işçi,3
frezecilik,eeii,Frezecinin yaptığı iş,4
frezeleme,eeee,Frezelemek işi,4
frezelemek,eeee,Bir parçayı freze tezgâhında işlemek,4
frigo,io,Dondurulmuş krema,2
frigorifik,ioii,soğutucu,4
frijider,iie,buzdolabı,3
frijidite,iiie,Kadında cinsel isteksizlik,4
frikik,ii,serbest vuruş,2
friksiyon,iio,ovma,3
frisa,ia,Tütsüleme suretiyle kurutulmuş ringa balığı,2
frişka,ia,Yelkeni dolduramayacak kadar hafif rüzgâr,2
fritöz,iö,Yiyecekleri özellikle patatesi kızartmaya yarayan özel kap,2
friz,i,"Tavandan inerek sahnenin üst kısmını, sahne boyunca kaplayan kısa, dar perde",1
frize kaplama,ieaaa,Ağacın yıl halkalarının kaplama yüzeyinde paralel çizgiler hâlinde görülmesiyle elde edilen bir kaplama türü,5
fruktoz,uo,meyve şekeri,2
fuar,ua,"Belli zamanlarda, belli yerlerde ticari mal sergilemek ve satmak amacıyla açılan büyük sergi",2
fuarcı,uaı,Fuar düzenleyen kimse,3
fuarcılık,uaıı,Fuarcının yaptığı iş,4
fuaye,uae,dinlenmelik,3
fuhuş,uu,İçinde bulunulan toplumun kurallarına uymayan bir biçimde bir veya birkaç kişiyle para karşılığında cinsel ilişkide bulunma,2
fujer,ue,eğrelti otu,2
fukara,uaa,yoksul,3
fukara babası,uaaaaı,fakir fukara babası,6
fukaralık,uaaı,yoksulluk,4
ful,u,"Taşkırangillerden, birçok türü bulunan ağaççık ve bunun güzel kokulu beyaz çiçeği (Jasminum sambac)",1
fular,ua,"Genellikle boyna bağlanan, bir tür ince ipek kumaş",2
fule,ue,Adım aralığı,2
fulya,ua,"Nergisgillerden, soğan köklü bir bitki; soğan çiçeği, zerrin (Narcissus jonquilla)",2
fulya balığı,uaaıı,"Fulya balığıgillerden, yan kanatları çok geniş, kuyruğu testere gibi dişli bir tür balık (Myliobatis aquila)",5
fulya balığıgiller,uaaııie,Örnek hayvanı fulya balığı olan omurgalı hayvanlar sınıfı,7
funda,ua,süpürge otu,2
funda sıçanı,uaıaı,"Şili ve Peru'da yaşayan, kemiriciler takımından bir tür memeli (Octadon degus)",5
funda tavuğu,uaauu,Avustralya'da yaşayan tavuksulardan bir tür kuş (Cathetfurus lathami),5
funda toprağı,uaoaı,Funda yapraklarının çürümesiyle oluşan ve gübre olarak yararlanılan toprak,5
fundagiller,uaie,"Fundalar takımından, bayağı funda veya süpürge çalısı, açelya, yaban mersini, koca yemiş gibi çoğu her zaman yeşil birçok çalı ve ağaççığı içine alan bir bitki familyası",4
fundalar,uaa,Fundagillerle birlikte bunlara benzeyen daha başka familyaları da içinde toplayan bir bitki takımı,3
fundalık,uaı,Funda ile kaplı yer,3
fundamentalist,uaeai,kökten dinci,5
fundamentalizm,uaeai,kökten dincilik,5
furgon,uo,Yolcu katarlarına eklenen yük vagonu,2
furya,ua,Olağandan çok fazla bulunma durumu,2
fut,u,ayak,1
futa,ua,"Dar, uzun ve hafif bir yarış kayığı; kik",2
futbol,uo,"Topu, kafa veya ayak vuruşları ile karşı kaleye sokma kuralına dayanan ve biri kaleci olmak üzere on birer kişilik iki takım arasında oynanan top oyunu; ayak topu",2
futbolcu,uou,Futbol oynayan kimse; topçu,3
futbolculuk,uouu,Futbolcunun yaptığı iş,4
fuzuli,uui,"Yersiz, gereksiz olan",3
fücceten,üee,ansızın (ölerek),3
füg,ü,Çok sesli müzikte üretici bir konunun birbirine benzer biçimde yenilenmesinden oluşan bir beste türü,1
fülüs,üü,Bakır para,2
füme,üe,duman rengi,2
fümerol,üeo,"Etkin olmayan dönemlerde, yanardağların ağzından yayılan gaz",3
fünye,üe,Barut vb. patlayıcı maddeleri ateşlemek için kullanılan kapsül,2
Fürs,ü,Eski Fars halkından olan kimse,1
füru,üu,"Dallar, kollar, ayrıntılar",2
fürumaye,üuae,"Sütü bozuk, mayası bozuk, soysuz olan",4
füsun,üu,büyü,2
füsunkâr,üu,büyülü,2
fütuhat,üua,Fetihler,3
fütuhatçı,üuaı,Bir yeri fetheden,4
fütur,üu,Bezginliğin verdiği gevşeklik ve gayretsizlik,2
fütursuz,üuu,"Hiçbir şeye aldırmayan, hiçbir şeyden çekinmeyen",3
fütursuzca,üuua,"Hiçbir şeye aldırmadan, hiçbir şeyden çekinmeden; fütursuzcasına",4
fütursuzluk,üuuu,Fütursuz olma durumu,4
fütürist,üüi,gelecekçi,3
fütürizm,üüi,gelecekçilik,3
fütürolog,üüoo,gelecek bilimci,4
fütüroloji,üüooi,gelecek bilimi,5
fütürolojik,üüooi,gelecek bilimsel,5
fütüvvet,üüe,"Dinî ve mesleki birlik, esnaf teşkilatı",3
füze,üe,Bir yanıcı ve bir yakıcı maddenin sürekli olarak yanmasından doğan itiş gücü ile hareket eden düzenek,2
füzeatar,üeaa,Otomatik olarak füze atan silah,4
füzen,üe,kömür kalem,2
füzesavar,üeaa,Saldırı nitelikli füzeleri etkisiz duruma getirmek amacıyla üretilen savunma sistemi,4
füzyometre,üoee,Erime ısısını ölçmeye yarayan cihaz,4
füzyon,üo,kaynaşma,2
gabardin,aai,Sık dokunmuş bir tür ince yünlü veya pamuklu kumaş,3
gabari,aai,"Bazı eşyaya verilmesi gereken boyutları, yan görüşü çizmeye, hazırlamaya veya denetlemeye yarayan örnek",3
gabavet,aae,kalın kafalılık,3
gabi,ai,kalın kafalı,2
gabilik,aii,kalın kafalılık,3
gabin,ai,"Alışverişte satın alınan mala ödenen karşılığın, malın değerinden çok fazla olması, alışverişte hile yapma",2
Gabonlu,aou,Gabon’da yaşayan halk veya bu halkın soyundan olan kimse,3
gabro,ao,"Amfibol, piroksen, olivin vb. renkli minerallerden oluşan bir tür iri taneli kaya",2
gabya,aa,Ana direklerin üzerine sürülen çubuklar ve ana direklerin üstlerinde bulunan serenler,2
gabya yelkeni,aaeei,Ana yelkenler üzerindeki yelkenler,5
gabyacı,aaı,"Yelkenli gemilerde yelken, arma, seren ve bütün bunlara ait her tür işi yapan görevli; gabyar",3
gabyar,aa,gabyacı,2
gacır gacır,aıaı,gacır gucur,4
gacır gucur,aıuu,Çirkin ve kulak tırmalayıcı bir ses çıkararak; gacır gacır,4
gacırdama,aıaa,Gacırdamak işi,4
gacırdamak,aıaa,"""Gacır"" diye kulak tırmalayıcı ve düzensiz ses çıkarmak",4
gacırdatma,aıaa,Gacırdatmak işi,4
gacırdatmak,aıaa,Gacırdamasına sebep olmak,4
